1,1,611.00,78.00,53.00,47.00,0.47,-1,-1,-1
1,2,638.00,55.00,48.00,49.00,0.46,-1,-1,-1
1,3,530.00,69.00,55.00,40.00,0.43,-1,-1,-1
1,4,598.00,46.00,34.00,31.00,0.42,-1,-1,-1
1,5,576.00,56.00,36.00,38.00,0.39,-1,-1,-1
1,6,950.00,74.00,46.00,30.00,0.39,-1,-1,-1
1,7,614.00,37.00,28.00,27.00,0.38,-1,-1,-1
1,8,931.00,64.00,37.00,27.00,0.36,-1,-1,-1
1,9,912.00,54.00,34.00,23.00,0.35,-1,-1,-1
1,10,632.00,27.00,26.00,22.00,0.19,-1,-1,-1
1,11,668.00,36.00,36.00,33.00,0.17,-1,-1,-1
2,1,611.00,79.00,53.00,47.00,0.47,-1,-1,-1
2,2,638.00,56.00,48.00,48.00,0.47,-1,-1,-1
2,3,531.00,69.00,55.00,40.00,0.45,-1,-1,-1
2,4,599.00,46.00,33.00,30.00,0.46,-1,-1,-1
2,5,576.00,57.00,38.00,35.00,0.44,-1,-1,-1
2,6,951.00,74.00,45.00,30.00,0.45,-1,-1,-1
2,7,614.00,36.00,28.00,27.00,0.37,-1,-1,-1
2,8,930.00,63.00,38.00,27.00,0.44,-1,-1,-1
2,9,913.00,54.00,32.00,22.00,0.36,-1,-1,-1
2,10,630.00,28.00,26.00,22.00,0.14,-1,-1,-1
2,11,669.00,36.00,35.00,33.00,0.21,-1,-1,-1
3,1,611.00,79.00,53.00,47.00,0.47,-1,-1,-1
3,2,638.00,56.00,48.00,48.00,0.47,-1,-1,-1
3,3,531.00,69.00,55.00,40.00,0.45,-1,-1,-1
3,4,599.00,46.00,33.00,30.00,0.46,-1,-1,-1
3,5,576.00,57.00,38.00,35.00,0.44,-1,-1,-1
3,6,951.00,74.00,45.00,30.00,0.45,-1,-1,-1
3,7,614.00,36.00,28.00,27.00,0.37,-1,-1,-1
3,8,930.00,63.00,38.00,27.00,0.44,-1,-1,-1
3,9,913.00,54.00,32.00,22.00,0.36,-1,-1,-1
3,10,630.00,28.00,26.00,22.00,0.13,-1,-1,-1
3,11,669.00,36.00,35.00,33.00,0.21,-1,-1,-1
4,1,610.00,79.00,54.00,48.00,0.47,-1,-1,-1
4,2,638.00,56.00,48.00,48.00,0.47,-1,-1,-1
4,3,530.00,69.00,54.00,41.00,0.43,-1,-1,-1
4,4,598.00,47.00,34.00,30.00,0.47,-1,-1,-1
4,5,574.00,56.00,38.00,37.00,0.45,-1,-1,-1
4,6,950.00,74.00,45.00,30.00,0.46,-1,-1,-1
4,7,614.00,37.00,28.00,26.00,0.42,-1,-1,-1
4,8,930.00,64.00,38.00,26.00,0.45,-1,-1,-1
4,9,913.00,54.00,32.00,22.00,0.38,-1,-1,-1
4,10,630.00,28.00,25.00,22.00,0.15,-1,-1,-1
4,11,668.00,36.00,35.00,33.00,0.31,-1,-1,-1
