1,1,924.00,74.00,47.00,32.00,0.48,-1,-1,-1
1,2,599.00,71.00,63.00,67.00,0.48,-1,-1,-1
1,3,500.00,84.00,62.00,48.00,0.47,-1,-1,-1
1,4,539.00,62.00,49.00,45.00,0.45,-1,-1,-1
1,5,452.00,57.00,52.00,35.00,0.43,-1,-1,-1
1,6,892.00,43.00,32.00,27.00,0.43,-1,-1,-1
1,7,619.00,3.00,55.00,54.00,0.42,-1,-1,-1
1,8,584.00,47.00,42.00,36.00,0.32,-1,-1,-1
1,9,618.00,39.00,32.00,29.00,0.15,-1,-1,-1
1,10,962.00,70.00,30.00,28.00,0.06,-1,-1,-1
2,1,924.00,74.00,47.00,32.00,0.48,-1,-1,-1
2,2,599.00,71.00,63.00,67.00,0.48,-1,-1,-1
2,3,500.00,84.00,62.00,48.00,0.47,-1,-1,-1
2,4,539.00,62.00,49.00,45.00,0.45,-1,-1,-1
2,5,452.00,57.00,52.00,35.00,0.43,-1,-1,-1
2,6,892.00,43.00,32.00,27.00,0.43,-1,-1,-1
2,7,619.00,3.00,55.00,54.00,0.42,-1,-1,-1
2,8,584.00,47.00,42.00,36.00,0.32,-1,-1,-1
2,9,618.00,39.00,32.00,29.00,0.15,-1,-1,-1
2,10,962.00,70.00,30.00,28.00,0.06,-1,-1,-1
3,1,924.00,74.00,47.00,32.00,0.48,-1,-1,-1
3,2,591.00,79.00,68.00,67.00,0.48,-1,-1,-1
3,3,496.00,85.00,64.00,49.00,0.47,-1,-1,-1
3,4,538.00,62.00,52.00,44.00,0.45,-1,-1,-1
3,5,453.00,57.00,51.00,34.00,0.47,-1,-1,-1
3,6,892.00,43.00,32.00,27.00,0.42,-1,-1,-1
3,7,619.00,3.00,54.00,54.00,0.46,-1,-1,-1
3,8,585.00,48.00,41.00,34.00,0.38,-1,-1,-1
3,9,617.00,38.00,33.00,30.00,0.21,-1,-1,-1
3,10,962.00,70.00,32.00,29.00,0.06,-1,-1,-1
3,11,619.00,66.00,42.00,38.00,0.07,-1,-1,-1
4,1,924.00,74.00,48.00,32.00,0.48,-1,-1,-1
4,2,574.00,92.00,72.00,74.00,0.49,-1,-1,-1
4,3,490.00,89.00,65.00,48.00,0.48,-1,-1,-1
4,4,536.00,63.00,54.00,44.00,0.46,-1,-1,-1
4,5,453.00,57.00,51.00,34.00,0.47,-1,-1,-1
4,6,892.00,43.00,32.00,27.00,0.43,-1,-1,-1
4,7,618.00,3.00,54.00,54.00,0.47,-1,-1,-1
4,8,584.00,49.00,41.00,36.00,0.40,-1,-1,-1
4,9,616.00,39.00,34.00,30.00,0.31,-1,-1,-1
4,10,958.00,69.00,36.00,30.00,0.02,-1,-1,-1
4,11,613.00,72.00,47.00,44.00,0.44,-1,-1,-1
5,1,924.00,74.00,48.00,32.00,0.48,-1,-1,-1
5,2,548.00,108.00,82.00,87.00,0.49,-1,-1,-1
5,3,478.00,96.00,69.00,49.00,0.39,-1,-1,-1
5,4,530.00,65.00,57.00,43.00,0.44,-1,-1,-1
